,title,reviewer,overall,story,acting,music,rewatch
0,Mr. Sunshine,kingsqueen,10,10,10,10,10
1,Goblin,kingsqueen,10,10,10,10,10
2,The Bride of Habaek,kingsqueen,7.0,7.0,7.0,9.0,5.5
3,Jealousy Incarnate,kingsqueen,8.5,8.5,10,10,9.0
4,Suspicious Partner,kingsqueen,7.0,7.0,9.0,7.0,5.0
5,Pinocchio,kingsqueen,9.0,8.5,10,8.0,8.0
6,Temperature of Love,kingsqueen,4.5,4.0,7.0,8.0,1.0
7,Black,kingsqueen,8.0,7.5,8.5,9.5,6.5
8,Strong Woman Do Bong Soon,kingsqueen,7.0,5.0,9.0,9.0,5.0
9,Radio Romance,kingsqueen,7.0,5.0,8.0,8.5,6.5
10,What's Wrong with Secretary Kim,kingsqueen,8.0,7.0,8.5,8.5,7.0
11,7 First Kisses,kingsqueen,5.0,5.0,7.0,7.0,2.0
12,Hit the Top,kingsqueen,6.5,6.0,8.0,8.0,4.0
13,The Guardians,kingsqueen,8.0,8.0,10,10,6.5
14,I'm Not a Robot,kingsqueen,10,9.0,10,9.0,10
0,Prison Playbook,kingsqueen,10,9.5,10,10,9.5
1,My Annoying Brother,kingsqueen,9.0,9.5,9.5,10,9.0
2,Life Risking Romance,kingsqueen,8.0,7.0,9.0,8.0,7.0
3,My Secret Romance,kingsqueen,5.5,5.5,7.0,7.0,2.0
4,Healer,kingsqueen,10,9.0,10,10,10
5,My Little Baby,kingsqueen,8.0,8.0,8.0,5.0,7.0
6,Jugglers,kingsqueen,8.5,8.5,9.5,9.0,8.0
7,Go Ho's Starry Night,kingsqueen,8.5,9.0,9.0,8.0,8.0
8,The Greatest Love,kingsqueen,9.0,9.0,9.0,9.0,9.0
9,Come and Hug Me,kingsqueen,7.0,6.0,10,8.0,5.0
10,The Package,kingsqueen,9.5,9.5,9.5,9.0,8.0
11,Doctors,kingsqueen,6.5,6.0,9.0,8.0,2.0
12,Touching You,kingsqueen,6.5,8.5,9.0,7.5,6.5
13,The Legend of the Blue Sea,kingsqueen,7.5,8.5,8.5,8.5,6.0
14,It's Okay to Not Be Okay,kingsqueen,10,10,10,10,10
0,Wok of Love,kingsqueen,7.0,6.0,9.0,9.0,5.0
1,Live,kingsqueen,9.0,9.0,9.5,10,5.0
2,Love Me If You Dare,kingsqueen,6.5,6.5,7.5,8.0,5.0
3,Terius Behind Me,kingsqueen,7.0,6.0,10,8.0,5.0
4,Something About 1 Percent,kingsqueen,10,9.0,10,9.0,10
5,Tomorrow With You,kingsqueen,7.5,7.0,8.0,8.0,6.0
6,Let's Eat 2,kingsqueen,8.0,8.0,10,8.5,7.0
7,Five Enough,kingsqueen,8.5,9.0,9.0,8.0,8.0
8,Fight For My Way,kingsqueen,10,9.5,10,9.5,10
9,Dramaworld,kingsqueen,6.0,6.0,6.5,5.0,2.0
10,Weightlifting Fairy Kim Bok Joo,kingsqueen,9.5,9.0,10,9.0,9.0
11,Because This is My First Life,kingsqueen,8.5,8.0,9.5,9.0,6.5
12,Beautiful Gong Shim,kingsqueen,5.5,3.0,9.0,8.0,3.0
13,Miss & Mrs. Cops,kingsqueen,8.5,8.0,10,8.0,8.5
14,The Ghost Detective,kingsqueen,3.5,3.5,8.0,10,1.0
0,The Thieves,kingsqueen,9.0,9.0,9.0,9.0,9.0
1,Innocent Thing,kingsqueen,8.0,8.0,9.0,7.0,5.0
2,Queen of the Ring,kingsqueen,5.5,4.0,7.0,5.0,2.0
3,Introverted Boss,kingsqueen,6.5,6.5,8.0,8.0,3.0
4,Thirty But Seventeen,kingsqueen,9.5,9.5,10,9.0,9.0
5,Something in the Rain,kingsqueen,8.0,6.0,10,8.0,6.0
6,"Hyde, Jekyll, Me",kingsqueen,7.0,7.0,8.5,8.5,6.0
7,Queen In Hyun's Man,kingsqueen,10,9.5,10,10,10
8,Another Miss Oh,kingsqueen,9.5,9.0,10,9.0,10
9,Witch's Romance,kingsqueen,6.5,7.0,8.0,6.0,4.0
10,Chicago Typewriter,kingsqueen,10,10,10,10,10
11,The Secret Life of My Secretary,kingsqueen,10,9.0,9.5,10,10
