,title,reviewer,overall,story,acting,music,rewatch
0,Mr. Sunshine,kingsqueen,10.0,10.0,10.0,10.0,10.0
1,Goblin,kingsqueen,10.0,10.0,10.0,10.0,10.0
2,The Bride of Habaek,kingsqueen,7.0,7.0,7.0,9.0,5.5
3,Jealousy Incarnate,kingsqueen,8.5,8.5,10.0,10.0,9.0
4,Suspicious Partner,kingsqueen,7.0,7.0,9.0,7.0,5.0
5,Pinocchio,kingsqueen,9.0,8.5,10.0,8.0,8.0
6,Temperature of Love,kingsqueen,4.5,4.0,7.0,8.0,1.0
7,Black,kingsqueen,8.0,7.5,8.5,9.5,6.5
8,Strong Woman Do Bong Soon,kingsqueen,7.0,5.0,9.0,9.0,5.0
9,Radio Romance,kingsqueen,7.0,5.0,8.0,8.5,6.5
10,What's Wrong with Secretary Kim,kingsqueen,8.0,7.0,8.5,8.5,7.0
11,7 First Kisses,kingsqueen,5.0,5.0,7.0,7.0,2.0
12,Hit the Top,kingsqueen,6.5,6.0,8.0,8.0,4.0
13,The Guardians,kingsqueen,8.0,8.0,10.0,10.0,6.5
14,I'm Not a Robot,kingsqueen,10.0,9.0,10.0,9.0,10.0
15,Prison Playbook,kingsqueen,10.0,9.5,10.0,10.0,9.5
16,My Annoying Brother,kingsqueen,9.0,9.5,9.5,10.0,9.0
17,Life Risking Romance,kingsqueen,8.0,7.0,9.0,8.0,7.0
18,My Secret Romance,kingsqueen,5.5,5.5,7.0,7.0,2.0
19,Healer,kingsqueen,10.0,9.0,10.0,10.0,10.0
20,My Little Baby,kingsqueen,8.0,8.0,8.0,5.0,7.0
21,Jugglers,kingsqueen,8.5,8.5,9.5,9.0,8.0
22,Go Ho's Starry Night,kingsqueen,8.5,9.0,9.0,8.0,8.0
23,The Greatest Love,kingsqueen,9.0,9.0,9.0,9.0,9.0
24,Come and Hug Me,kingsqueen,7.0,6.0,10.0,8.0,5.0
25,The Package,kingsqueen,9.5,9.5,9.5,9.0,8.0
26,Doctors,kingsqueen,6.5,6.0,9.0,8.0,2.0
27,Touching You,kingsqueen,6.5,8.5,9.0,7.5,6.5
28,The Legend of the Blue Sea,kingsqueen,7.5,8.5,8.5,8.5,6.0
29,Wok of Love,kingsqueen,7.0,6.0,9.0,9.0,5.0
30,Live,kingsqueen,9.0,9.0,9.5,10.0,5.0
31,Love Me If You Dare,kingsqueen,6.5,6.5,7.5,8.0,5.0
32,Terius Behind Me,kingsqueen,7.0,6.0,10.0,8.0,5.0
33,Something About 1 Percent,kingsqueen,10.0,9.0,10.0,9.0,10.0
34,Tomorrow With You,kingsqueen,7.5,7.0,8.0,8.0,6.0
